"Comunidad","Periodo","Residuo","Total","Poblacion","Porcentaje_por_poblacion","PIB_PC"
"Andalucía",2010,"Residuos textiles",659,8370975,0.01,17434
"Andalucía",2010,"TOTAL RESIDUOS DE RECOGIDA SEPARADA",605939,8370975,7.24,17434
"Andalucía",2010,"Residuos domésticos voluminosos mezclados (enseres domésticos)",155836,8370975,1.86,17434
"Andalucía",2010,"Residuos de vidrio",82031,8370975,0.98,17434
"Andalucía",2010,"Envases mixtos y embalajes mezclados",133157,8370975,1.59,17434
"Andalucía",2010,"Residuos animales y vegetales",91419,8370975,1.09,17434
"Andalucía",2010,"Residuos de papel y cartón",136017,8370975,1.62,17434
"Andalucía",2010,"Residuos de pilas y acumuladores",305,8370975,0,17434
"Andalucía",2010,"Residuos de Madera",13528,8370975,0.16,17434
"Andalucía",2010,"Lodos comunes (secos)",18992,8370975,0.23,17434
"Andalucía",2010,"TOTAL RESIDUOS MEZCLADOS",4369010,8370975,52.19,17434
"Andalucía",2010,"Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados",25185,8370975,0.3,17434
"Andalucía",2010,"Residuos domésticos y similares (domésticos y vías públicas)",4213174,8370975,50.33,17434
"Andalucía",2010,"Residuos metálicos",11203,8370975,0.13,17434
"Andalucía",2010,"Residuos de plásticos",28898,8370975,0.35,17434
"Andalucía",2010,"Otros",7729,8370975,0.09,17434
"Andalucía",2010,"Residuos minerales (incluye residuos de construcción y demolición)",56816,8370975,0.68,17434
"Andalucía",2010,"TOTAL RESIDUOS",4974949,8370975,59.43,17434
"Andalucía",2011,"Residuos textiles",2267,8424102,0.03,17167
"Andalucía",2011,"Residuos de plásticos",13063,8424102,0.16,17167
"Andalucía",2011,"TOTAL RESIDUOS DE RECOGIDA SEPARADA",624371,8424102,7.41,17167
"Andalucía",2011,"Residuos minerales (incluye residuos de construcción y demolición)",141142,8424102,1.68,17167
"Andalucía",2011,"Residuos de vidrio",74820,8424102,0.89,17167
"Andalucía",2011,"Otros",724,8424102,0.01,17167
"Andalucía",2011,"TOTAL RESIDUOS MEZCLADOS",3948338,8424102,46.87,17167
"Andalucía",2011,"Residuos domésticos voluminosos mezclados (enseres domésticos)",152281,8424102,1.81,17167
"Andalucía",2011,"Lodos comunes (secos)",12181,8424102,0.14,17167
"Andalucía",2011,"TOTAL RESIDUOS",4572709,8424102,54.28,17167
"Andalucía",2011,"Envases mixtos y embalajes mezclados",136141,8424102,1.62,17167
"Andalucía",2011,"Residuos metálicos",8370,8424102,0.1,17167
"Andalucía",2011,"Residuos de papel y cartón",118200,8424102,1.4,17167
"Andalucía",2011,"Residuos de Madera",9155,8424102,0.11,17167
"Andalucía",2011,"Residuos animales y vegetales",105106,8424102,1.25,17167
"Andalucía",2011,"Residuos domésticos y similares (domésticos y vías públicas)",3796057,8424102,45.06,17167
"Andalucía",2011,"Residuos de pilas y acumuladores",148,8424102,0,17167
"Andalucía",2011,"Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados",3054,8424102,0.04,17167
"Andalucía",2012,"Residuos domésticos voluminosos mezclados (enseres domésticos)",99589,8449985,1.18,16461
"Andalucía",2012,"Lodos comunes (secos)",12325,8449985,0.15,16461
"Andalucía",2012,"Residuos de plásticos",10852,8449985,0.13,16461
"Andalucía",2012,"Residuos metálicos",7185,8449985,0.09,16461
"Andalucía",2012,"Residuos animales y vegetales",94194,8449985,1.11,16461
"Andalucía",2012,"TOTAL RESIDUOS DE RECOGIDA SEPARADA",574851,8449985,6.8,16461
"Andalucía",2012,"Residuos textiles",2259,8449985,0.03,16461
"Andalucía",2012,"TOTAL RESIDUOS MEZCLADOS",4234563,8449985,50.11,16461
"Andalucía",2012,"Residuos de pilas y acumuladores",129,8449985,0,16461
"Andalucía",2012,"Residuos de vidrio",76114,8449985,0.9,16461
"Andalucía",2012,"Envases mixtos y embalajes mezclados",131749,8449985,1.56,16461
"Andalucía",2012,"TOTAL RESIDUOS",4809414,8449985,56.92,16461
"Andalucía",2012,"Residuos de Madera",16997,8449985,0.2,16461
"Andalucía",2012,"Residuos de papel y cartón",111678,8449985,1.32,16461
"Andalucía",2012,"Residuos domésticos y similares (domésticos y vías públicas)",4134974,8449985,48.93,16461
"Andalucía",2012,"Residuos minerales (incluye residuos de construcción y demolición)",102004,8449985,1.21,16461
"Andalucía",2012,"Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados",3014,8449985,0.04,16461
"Andalucía",2012,"Otros",6351,8449985,0.08,16461
"Andalucía",2013,"Residuos domésticos voluminosos mezclados (enseres domésticos)",181998,8440300,2.16,16240
"Andalucía",2013,"Residuos textiles",8134,8440300,0.1,16240
"Andalucía",2013,"TOTAL RESIDUOS DE RECOGIDA SEPARADA",555306,8440300,6.58,16240
"Andalucía",2013,"Residuos de plásticos",809,8440300,0.01,16240
"Andalucía",2013,"Residuos de vidrio",79001,8440300,0.94,16240
"Andalucía",2013,"Residuos animales y vegetales",96069,8440300,1.14,16240
"Andalucía",2013,"Residuos de Madera",12611,8440300,0.15,16240
"Andalucía",2013,"Envases mixtos y embalajes mezclados",77415,8440300,0.92,16240
"Andalucía",2013,"Lodos comunes (secos)",0,8440300,0,16240
"Andalucía",2013,"Residuos de pilas y acumuladores",134,8440300,0,16240
"Andalucía",2013,"Residuos domésticos y similares (domésticos y vías públicas)",3825590,8440300,45.33,16240
"Andalucía",2013,"Residuos de papel y cartón",100864,8440300,1.2,16240
"Andalucía",2013,"Residuos metálicos",5361,8440300,0.06,16240
"Andalucía",2013,"Equipos eléctricos desechados y Componentes de equipos eléctrónicos desechados",2366,8440300,0.03,16240
"Andalucía",2013,"Residuos minerales (incluye residuos de construcción y demolición)",121090,8440300,1.43,16240
"Andalucía",2013,"TOTAL RESIDUOS MEZCLADOS",4007588,8440300,47.48,16240
"Andalucía",2013,"Otros",51452,8440300,0.61,16240
"Andalucía",2013,"TOTAL RESIDUOS",4562894,8440300,54.06,16240
"Andalucía",2014,"Residuos domésticos voluminosos mezclados (enseres domésticos)",252293,8402305,3,16436
"Andalucía",2014,"TOTAL RESIDUOS DE RECOGIDA SEPARADA",481568,8402305,5.73,16436
"Andalucía",2014,"Envases mixtos y embalajes mezclados",76354,8402305,0.91,16436
"Andalucía",2014,"Residuos de vidrio",82208,8402305,0.98,16436
