MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Población a 1 de julio,POB_1_JULIO,Resto de España,ES_O,2000,2000,,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Resto de España,ES_O,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Resto de España,ES_O,2000,2000,,,,
Importe a precios de mercado,GDP_PRODUCTION,Resto de España,ES_O,2000,2000,542272.0,,,
Población a 1 de julio,POB_1_JULIO,Canarias,ES70,2000,2000,1667.4,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Canarias,ES70,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Canarias,ES70,2000,2000,15622.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Canarias,ES70,2000,2000,26048646.0,,,
Población a 1 de julio,POB_1_JULIO,Ciudad Autónoma de Melilla,ES64,2000,2000,65.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Ciudad Autónoma de Melilla,ES64,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Ciudad Autónoma de Melilla,ES64,2000,2000,14122.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Ciudad Autónoma de Melilla,ES64,2000,2000,921312.0,,,
Población a 1 de julio,POB_1_JULIO,Ciudad Autónoma de Ceuta,ES63,2000,2000,71.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Ciudad Autónoma de Ceuta,ES63,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Ciudad Autónoma de Ceuta,ES63,2000,2000,14334.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Ciudad Autónoma de Ceuta,ES63,2000,2000,1017262.0,,,
Población a 1 de julio,POB_1_JULIO,Región de Murcia,ES62,2000,2000,1176.1,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Región de Murcia,ES62,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Región de Murcia,ES62,2000,2000,13364.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Región de Murcia,ES62,2000,2000,15717410.0,,,
Población a 1 de julio,POB_1_JULIO,Andalucía,ES61,2000,2000,7301.8,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Andalucía,ES61,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Andalucía,ES61,2000,2000,11856.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Andalucía,ES61,2000,2000,86568676.0,,,
Población a 1 de julio,POB_1_JULIO,Illes Balears / Islas Baleares,ES53,2000,2000,823.4,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Illes Balears / Islas Baleares,ES53,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Illes Balears / Islas Baleares,ES53,2000,2000,20094.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Illes Balears / Islas Baleares,ES53,2000,2000,16545333.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad Valenciana,ES52,2000,2000,4118.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad Valenciana,ES52,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad Valenciana,ES52,2000,2000,15230.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad Valenciana,ES52,2000,2000,62717924.0,,,
Población a 1 de julio,POB_1_JULIO,Cataluña,ES51,2000,2000,6297.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Cataluña,ES51,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Cataluña,ES51,2000,2000,19442.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Cataluña,ES51,2000,2000,122427924.0,,,
Población a 1 de julio,POB_1_JULIO,Extremadura,ES43,2000,2000,1059.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Extremadura,ES43,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Extremadura,ES43,2000,2000,10149.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Extremadura,ES43,2000,2000,10750237.0,,,
Población a 1 de julio,POB_1_JULIO,Castilla - La Mancha,ES42,2000,2000,1746.7,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Castilla - La Mancha,ES42,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Castilla - La Mancha,ES42,2000,2000,12448.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Castilla - La Mancha,ES42,2000,2000,21744122.0,,,
Población a 1 de julio,POB_1_JULIO,Castilla y León,ES41,2000,2000,2467.7,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Castilla y León,ES41,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Castilla y León,ES41,2000,2000,14474.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Castilla y León,ES41,2000,2000,35717613.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad de Madrid,ES30,2000,2000,5353.4,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad de Madrid,ES30,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad de Madrid,ES30,2000,2000,21380.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad de Madrid,ES30,2000,2000,114454953.0,,,
Población a 1 de julio,POB_1_JULIO,Aragón,ES24,2000,2000,1200.8,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Aragón,ES24,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Aragón,ES24,2000,2000,16716.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Aragón,ES24,2000,2000,20071592.0,,,
Población a 1 de julio,POB_1_JULIO,La Rioja,ES23,2000,2000,274.5,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,La Rioja,ES23,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,La Rioja,ES23,2000,2000,17854.0,,,
Importe a precios de mercado,GDP_PRODUCTION,La Rioja,ES23,2000,2000,4900954.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad Foral de Navarra,ES22,2000,2000,550.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad Foral de Navarra,ES22,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad Foral de Navarra,ES22,2000,2000,20322.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad Foral de Navarra,ES22,2000,2000,11177110.0,,,
Población a 1 de julio,POB_1_JULIO,País Vasco,ES21,2000,2000,2083.3,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,País Vasco,ES21,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,País Vasco,ES21,2000,2000,19580.0,,,
Importe a precios de mercado,GDP_PRODUCTION,País Vasco,ES21,2000,2000,40789981.0,,,
Población a 1 de julio,POB_1_JULIO,Cantabria,ES13,2000,2000,533.6,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Cantabria,ES13,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Cantabria,ES13,2000,2000,14934.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Cantabria,ES13,2000,2000,7968169.0,,,
Población a 1 de julio,POB_1_JULIO,Principado de Asturias,ES12,2000,2000,1066.1,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Principado de Asturias,ES12,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Principado de Asturias,ES12,2000,2000,13418.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Principado de Asturias,ES12,2000,2000,14305047.0,,,
Población a 1 de julio,POB_1_JULIO,Galicia,ES11,2000,2000,2699.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Galicia,ES11,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Galicia,ES11,2000,2000,12399.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Galicia,ES11,2000,2000,33464463.0,,,
Población a 1 de julio,POB_1_JULIO,España,ES,2000,2000,40554.4,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,España,ES,2000,2000,,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,España,ES,2000,2000,15975.0,,,
Importe a precios de mercado,GDP_PRODUCTION,España,ES,2000,2000,647851000.0,,,
Población a 1 de julio,POB_1_JULIO,Resto de España,ES_O,2001,2001,,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Resto de España,ES_O,2001,2001,,,,
